country,country_code,Acute hepatitis A,Acute hepatitis B,Acute hepatitis C,Acute hepatitis E,African trypanosomiasis,Alcohol use disorders,Alzheimer disease and other dementias,Anxiety disorders,Appendicitis,Ascariasis,Asthma,Autism and Asperger syndrome,Back and neck pain,Benign prostatic hyperplasia,Bipolar disorder,Bladder cancer,Brain and nervous system cancers,Breast cancer,"Cardiomyopathy, myocarditis, endocarditis",Cataracts,Cervix uteri cancer,Chagas disease,Childhood behavioural disorders,Chlamydia,Chronic obstructive pulmonary disease,Cirrhosis of the liver,Collective violence and legal intervention,Colon and rectum cancers,Congenital anomalies,Corpus uteri cancer,Cysticercosis,Dengue,Depressive disorders,Diabetes mellitus,Diarrhoeal diseases,Diphtheria,Drowning,Drug use disorders,Eating disorders,Echinococcosis,Encephalitis,Epilepsy,Exposure to mechanical forces,Falls,"Fire, heat and hot substances",Food-bourne trematodes,Gallbladder and biliary diseases,Gallbladder and biliary tract cancer,Gastritis and duodenitis,Genital herpes,Glaucoma,Gonorrhoea,Gout,Gynecological diseases,HIV/AIDS,Hookworm disease,Hypertensive heart disease,Idiopathic intellectual disability,Infertility,Inflammatory bowel disease,Interpersonal violence,Iodine deficiency,Iron-deficiency anaemia,Ischaemic heart disease,Kidney cancer,Kidney diseases,Larynx cancer,Leishmaniasis,Leprosy,Leukaemia,Liver cancer,Lower respiratory infections,Lymphatic filariasis,"Lymphomas, multiple myeloma",Macular degeneration,Malaria,Maternal conditions,Measles,Melanoma and other skin cancers,Meningitis,Mesothelioma,Migraine,Mouth and oropharynx cancers,Multiple sclerosis,Natural disasters,Neonatal conditions,Non-migraine headache,Oesophagus cancer,Onchocerciasis,Oral conditions,Osteoarthritis,Other hearing loss,Other vision loss,Otitis media,Ovary cancer,Pancreas cancer,Pancreatitis,Paralytic ileus and intestinal obstruction,Parkinson disease,Peptic ulcer disease,Poisonings,Prostate cancer,Protein-energy malnutrition,Rabies,Rheumatic heart disease,Rheumatoid arthritis,Road injury,Schistosomiasis,Schizophrenia,Self-harm,Sickle cell disorders and trait,Skin diseases,Stomach cancer,Stroke,Sudden infant death syndrome,Syphilis,Testicular cancer,Tetanus,Thalassaemias,Thyroid cancer,"Trachea, bronchus, lung cancers",Trachoma,Trichomoniasis,Trichuriasis,Tuberculosis,Uncorrected refractive errors,Upper respiratory infections,Urolithiasis,Vitamin A deficiency,Whooping cough,Yellow fever,Grand Total,year
Sweden,SWE,0.03,0.09,0.44,0.00,0.00,3.57,108.77,0.01,0.18,0.00,1.58,0.00,0.41,0.46,0.23,7.57,6.74,15.77,5.44,0.00,2.26,0.00,0.00,0.00,43.29,7.21,0.01,30.39,3.07,3.43,0.00,0.00,0.00,18.27,2.88,0.00,1.15,4.22,0.00,0.00,0.00,1.20,0.56,11.06,0.64,0.00,2.58,5.63,0.11,0.00,0.00,0.00,0.05,0.00,0.12,0.00,18.32,0.32,0.00,0.53,1.12,0.00,1.74,150.80,6.78,16.23,0.70,0.00,0.00,8.22,7.49,26.49,0.00,13.51,0.00,0.00,0.05,0.00,6.48,0.34,1.69,0.00,3.77,1.69,0.00,1.40,0.00,5.36,0.00,0.08,0.24,0.00,0.00,0.01,5.51,18.42,1.74,2.67,9.40,2.76,0.17,26.13,1.16,0.00,1.09,1.28,3.13,0.00,0.63,14.73,0.01,2.18,6.10,60.13,0.16,0.00,0.08,0.00,0.00,0.88,37.08,0.00,0.00,0.00,0.24,0.00,0.19,0.00,0.00,0.01,0.00,758.64,2019.00
Thailand,THA,0.00,0.22,0.00,0.00,0.00,0.79,32.81,0.00,0.16,0.00,6.01,0.00,0.00,0.00,0.00,2.58,2.73,8.70,4.13,0.00,7.34,0.00,0.00,0.00,27.96,25.27,0.14,14.22,3.02,1.24,0.00,0.24,0.00,26.97,9.86,0.00,5.68,1.13,0.00,0.00,1.04,0.99,0.92,7.76,0.90,0.00,4.48,11.26,0.31,0.00,0.00,0.01,0.00,0.06,20.00,0.00,3.13,0.00,0.00,0.15,4.25,0.00,0.00,73.68,1.23,38.51,1.29,0.00,0.00,5.61,34.30,44.93,0.00,6.53,0.00,0.00,0.33,0.08,1.62,1.33,0.04,0.00,7.13,0.12,0.00,3.85,0.00,4.53,0.00,0.00,0.00,0.00,0.00,0.00,2.87,3.43,1.67,4.08,6.16,2.40,0.19,4.33,1.37,0.00,0.63,0.28,32.21,0.00,0.00,8.83,0.00,4.85,4.95,72.21,0.16,0.05,0.07,0.16,0.14,0.57,32.02,0.00,0.00,0.00,13.73,0.00,0.01,0.66,0.00,0.10,0.00,659.73,2019.00
Turkey,TUR,0.01,0.08,0.02,0.00,0.00,0.21,20.74,0.00,0.10,0.00,2.93,0.00,0.00,0.00,0.00,5.37,6.32,6.76,1.95,0.00,1.57,0.00,0.00,0.00,30.06,7.60,0.38,12.71,5.96,1.31,0.00,0.00,0.00,21.46,0.89,0.00,0.66,1.17,0.00,0.20,0.23,1.38,1.10,5.25,0.41,0.00,1.62,1.44,0.04,0.00,0.00,0.00,0.00,0.02,0.25,0.00,17.69,0.00,0.00,0.33,4.81,0.00,0.00,102.97,3.18,20.40,2.30,0.00,0.00,5.83,5.45,15.40,0.00,5.81,0.00,0.00,0.14,0.01,1.86,0.32,0.74,0.00,1.57,0.20,0.00,6.91,0.00,1.59,0.00,0.00,0.00,0.00,0.00,0.00,2.74,8.25,0.90,1.66,4.12,0.93,0.44,6.72,0.70,0.01,0.54,0.28,6.67,0.03,0.00,2.40,0.08,0.38,12.39,52.75,0.25,0.06,0.25,0.01,0.05,0.92,42.04,0.00,0.00,0.00,0.36,0.00,0.00,0.04,0.00,0.12,0.00,483.74,2019.00
United States of America,USA,0.16,0.18,1.74,0.01,0.00,4.46,87.27,0.01,0.12,0.00,1.16,0.00,0.36,0.20,0.04,5.96,5.74,14.79,9.88,0.00,2.13,0.00,0.00,0.00,59.37,13.19,0.36,18.78,3.57,3.05,0.00,0.00,0.00,18.67,3.02,0.00,1.24,22.63,0.00,0.00,0.01,0.96,0.86,12.29,0.97,0.00,1.74,1.39,0.10,0.00,0.00,0.00,0.02,0.00,1.72,0.00,20.04,0.14,0.00,0.42,5.77,0.00,0.94,153.44,5.14,26.10,1.34,0.00,0.00,8.20,8.22,18.33,0.00,12.25,0.00,0.00,0.24,0.00,4.34,0.18,0.91,0.00,3.51,1.54,0.01,3.44,0.00,5.41,0.00,0.08,0.17,0.00,0.00,0.00,4.44,13.46,1.28,2.24,10.48,1.05,0.51,10.82,2.05,0.00,1.10,0.74,12.67,0.00,0.22,16.13,0.16,1.64,3.97,48.18,0.41,0.01,0.12,0.00,0.01,0.69,47.26,0.00,0.00,0.00,0.16,0.00,0.06,0.00,0.00,0.00,0.00,758.15,2019.00
Australia,AUS,0.09,0.21,0.95,0.01,0.00,1.56,55.59,0.00,0.08,0.00,1.79,0.00,0.19,0.25,0.05,5.19,6.46,13.67,6.64,0.00,1.32,0.00,0.00,0.00,33.57,5.71,0.03,25.81,2.81,2.02,0.00,0.00,0.00,17.78,1.18,0.00,0.79,6.90,0.00,0.00,0.01,1.28,0.48,11.05,0.25,0.00,1.80,1.35,0.10,0.00,0.00,0.00,0.12,0.00,0.19,0.00,7.37,0.07,0.00,0.33,1.13,0.00,0.66,97.99,4.66,12.82,1.03,0.00,0.00,8.32,7.70,14.68,0.00,12.20,0.00,0.00,0.09,0.00,10.05,0.14,3.13,0.00,4.14,0.74,0.02,2.21,0.00,6.15,0.00,0.12,0.59,0.00,0.00,0.00,3.90,11.68,0.94,3.03,7.38,1.06,0.14,14.85,0.40,0.00,1.77,0.80,5.20,0.00,0.18,13.22,0.00,2.26,5.34,46.79,0.23,0.00,0.11,0.00,0.01,0.67,35.81,0.00,0.00,0.00,0.21,0.00,0.05,0.00,0.00,0.01,0.00,559.62,2015.00
Belgium,BEL,0.12,0.12,0.52,0.00,0.00,4.42,71.89,0.01,0.14,0.00,1.20,0.00,0.61,0.19,0.09,9.51,6.85,22.45,9.92,0.00,2.25,0.00,0.00,0.00,59.32,12.53,0.00,29.30,2.48,3.12,0.00,0.00,0.00,10.97,4.34,0.00,0.84,2.38,0.00,0.00,0.02,2.90,0.46,14.92,0.69,0.00,3.44,1.71,0.11,0.00,0.00,0.00,0.04,0.00,0.29,0.00,6.93,0.35,0.00,1.22,1.46,0.00,1.57,140.59,5.73,23.48,1.86,0.00,0.00,10.53,8.81,48.68,0.00,13.81,0.00,0.00,0.06,0.00,4.72,0.34,2.36,0.00,6.06,1.28,0.00,1.85,0.00,7.78,0.00,0.18,0.57,0.00,0.00,0.01,6.28,16.13,1.35,4.18,10.17,1.82,0.42,15.65,2.61,0.00,2.67,0.64,6.69,0.00,0.30,18.59,0.00,2.80,7.64,67.05,0.20,0.00,0.12,0.00,0.00,0.77,58.76,0.00,0.00,0.00,0.55,0.00,0.23,0.00,0.00,0.01,0.00,796.01,2015.00
Brazil,BRA,0.38,0.36,1.04,0.02,0.00,3.39,11.23,0.00,0.51,0.00,1.16,0.00,0.10,0.40,0.02,2.24,5.18,8.88,8.84,0.00,4.19,2.31,0.00,0.00,26.44,10.32,1.06,9.59,6.48,1.11,0.68,0.50,0.00,26.14,2.37,0.00,2.55,1.05,0.00,0.00,0.03,1.31,0.67,7.55,0.50,0.00,2.79,1.83,0.25,0.00,0.00,0.00,0.02,0.00,6.78,0.00,12.01,0.04,0.00,0.35,31.71,0.00,1.04,76.52,1.90,15.15,2.53,0.20,0.06,3.93,5.06,41.55,0.00,4.54,0.00,0.01,0.87,0.00,2.16,0.68,0.05,0.00,4.43,0.16,0.01,11.23,0.00,4.84,0.00,0.02,0.15,0.00,0.00,0.03,1.82,4.93,2.35,2.34,1.77,1.70,0.19,8.27,3.37,0.00,1.03,0.23,20.79,0.23,0.26,5.86,0.26,2.62,8.20,58.02,0.11,0.10,0.22,0.04,0.01,0.42,13.78,0.00,0.00,0.00,2.62,0.00,0.12,0.00,0.00,0.02,0.00,523.21,2015.00
Canada,CAN,0.05,0.21,1.25,0.00,0.00,3.09,69.76,0.00,0.12,0.00,0.78,0.00,0.34,0.41,0.07,6.44,6.73,15.81,5.22,0.00,1.59,0.00,0.00,0.00,37.48,8.86,0.04,25.69,2.96,3.06,0.00,0.00,0.00,16.52,3.06,0.00,0.80,8.64,0.00,0.00,0.01,0.78,0.64,13.19,0.59,0.00,2.04,1.66,0.14,0.00,0.00,0.00,0.06,0.00,0.55,0.00,6.77,0.14,0.00,0.44,1.68,0.00,0.92,111.24,5.61,13.00,1.24,0.00,0.00,8.04,8.16,21.80,0.00,13.49,0.00,0.00,0.12,0.00,4.76,0.18,1.54,0.00,4.02,1.48,0.00,3.13,0.00,5.90,0.00,0.16,0.37,0.00,0.00,0.02,5.37,13.37,1.26,3.04,7.11,1.10,0.35,12.03,0.54,0.00,1.71,0.79,5.75,0.00,0.28,13.00,0.00,1.72,5.74,39.40,0.10,0.01,0.12,0.00,0.00,0.67,56.33,0.00,0.00,0.00,0.35,0.00,0.12,0.00,0.00,0.00,0.00,623.17,2015.00
Switzerland,CHE,0.02,0.08,0.23,0.00,0.00,2.88,82.99,0.03,0.11,0.00,1.08,0.00,1.09,0.33,0.23,7.35,6.87,18.95,13.02,0.00,1.33,0.00,0.00,0.00,34.27,8.11,0.00,23.46,3.78,2.64,0.00,0.00,0.00,12.03,2.08,0.00,0.73,2.53,0.00,0.11,0.02,1.93,0.48,21.15,0.28,0.00,2.19,2.24,0.24,0.00,0.01,0.00,0.08,0.00,0.46,0.00,29.96,0.28,0.00,0.74,0.61,0.01,0.86,134.91,5.18,14.24,1.03,0.01,0.00,8.07,9.56,22.12,0.00,13.28,0.00,0.00,0.05,0.00,6.16,0.36,2.30,0.00,5.49,2.03,0.22,2.03,0.00,6.02,0.00,0.09,2.00,0.04,0.00,0.00,5.50,16.09,1.19,3.54,10.02,1.48,0.24,17.78,1.07,0.16,0.86,0.79,3.15,0.00,1.07,14.96,0.02,1.47,7.02,48.22,0.13,0.01,0.26,0.01,0.01,0.90,40.99,0.00,0.00,0.00,0.20,0.00,0.12,0.00,0.00,0.00,0.00,700.31,2015.00
China,CHN,0.01,0.21,0.00,0.00,0.00,1.37,17.17,0.00,0.10,0.00,1.68,0.00,0.00,0.00,0.00,2.31,3.84,5.68,2.01,0.00,3.48,0.00,0.00,0.00,64.64,9.99,0.05,14.86,3.39,0.79,0.04,0.00,0.00,9.84,0.74,0.00,3.98,1.39,0.00,0.02,0.21,0.81,2.27,8.91,0.72,0.00,0.95,2.07,1.23,0.00,0.00,0.01,0.00,0.06,2.48,0.00,19.65,0.00,0.00,0.28,0.95,0.00,0.00,112.32,1.37,12.47,1.24,0.00,0.00,3.92,11.23,12.15,0.00,3.71,0.00,0.00,0.31,0.04,1.29,0.46,0.18,0.00,3.59,0.10,0.02,4.89,0.00,15.57,0.00,0.00,0.00,0.00,0.00,0.00,1.62,6.27,0.68,1.01,4.34,2.78,1.97,3.09,0.76,1.18,4.78,0.61,18.25,0.02,0.00,8.13,0.00,0.31,27.11,132.74,0.09,0.18,0.07,0.03,0.16,0.45,43.73,0.00,0.00,0.00,2.84,0.00,0.17,0.15,0.00,0.06,0.00,636.63,2015.00
Germany,DEU,0.21,0.24,0.89,0.07,0.00,7.36,55.29,0.00,0.16,0.00,1.33,0.00,0.68,0.23,0.02,7.94,8.10,25.03,11.98,0.00,2.67,0.00,0.00,0.00,58.26,17.98,0.00,34.78,2.54,3.00,0.00,0.00,0.00,21.14,7.21,0.00,0.55,2.30,0.00,0.27,0.01,3.59,0.33,16.25,0.43,0.00,3.05,5.06,0.45,0.00,0.00,0.00,0.05,0.00,0.50,0.00,43.26,0.05,0.00,1.09,0.91,0.00,1.17,227.33,7.80,33.91,2.06,0.00,0.00,10.77,10.03,27.18,0.00,15.11,0.00,0.00,0.05,0.00,5.31,0.22,1.95,0.00,7.58,1.73,0.00,1.71,0.00,7.60,0.00,0.07,0.38,0.00,0.00,0.01,6.89,21.87,2.24,5.05,12.98,3.03,0.16,18.80,0.55,0.02,4.30,0.63,4.36,0.00,0.30,13.27,0.00,1.81,12.70,74.36,0.12,0.00,0.21,0.00,0.01,0.97,57.97,0.00,0.00,0.00,0.40,0.00,0.25,0.00,0.00,0.00,0.00,950.52,2015.00
Spain,ESP,0.03,0.33,1.66,0.01,0.00,0.72,82.57,0.00,0.15,0.00,2.53,0.00,0.30,0.39,0.05,11.34,6.97,14.97,11.15,0.00,1.91,0.01,0.00,0.00,43.14,9.74,0.00,36.48,1.88,3.47,0.00,0.00,0.00,18.28,1.98,0.00,0.91,1.85,0.00,0.00,0.01,1.53,0.37,6.05,0.35,0.00,5.58,3.22,0.11,0.00,0.01,0.00,0.02,0.00,1.43,0.00,20.39,0.18,0.00,0.54,0.63,0.01,1.85,117.05,5.43,20.58,3.09,0.01,0.00,8.53,11.14,27.29,0.00,11.56,0.00,0.00,0.03,0.00,4.02,0.28,0.98,0.01,5.51,0.57,0.00,1.35,0.00,4.55,0.00,0.08,0.33,0.00,0.00,0.01,4.32,14.14,3.03,4.76,9.32,1.03,0.34,13.55,0.59,0.00,3.82,0.63,4.22,0.00,0.34,7.90,0.01,3.48,13.05,66.64,0.07,0.02,0.11,0.00,0.00,0.80,47.58,0.00,0.00,0.00,0.55,0.00,0.10,0.00,0.00,0.00,0.00,717.91,2015.00
France,FRA,0.07,0.26,0.69,0.05,0.00,4.84,73.62,0.02,0.16,0.00,1.48,0.00,0.51,0.12,0.32,9.57,7.14,23.11,9.60,0.01,2.35,0.00,0.00,0.00,27.24,11.78,0.45,32.29,3.16,3.95,0.00,0.00,0.00,17.09,2.97,0.00,1.34,2.95,0.00,0.05,0.01,2.86,0.39,11.98,0.65,0.00,3.02,2.01,0.06,0.00,0.01,0.00,0.06,0.00,0.64,0.00,11.12,0.23,0.00,0.64,0.93,0.00,1.38,100.20,6.94,16.29,1.97,0.00,0.00,10.91,14.25,30.14,0.00,15.01,0.00,0.00,0.10,0.00,4.90,0.26,1.84,0.00,7.16,1.09,0.02,2.23,0.00,7.06,0.00,0.19,0.35,0.01,0.00,0.02,5.84,18.35,1.59,5.76,10.52,1.44,0.33,15.83,5.92,0.00,2.05,0.59,5.52,0.00,1.02,15.84,0.04,2.33,8.09,57.44,0.25,0.01,0.21,0.00,0.00,0.75,54.07,0.00,0.00,0.00,0.73,0.00,0.09,0.00,0.00,0.00,0.00,708.78,2015.00
United Kingdom of Great Britain and Northern Ireland,GBR,0.02,0.05,0.45,0.02,0.00,1.93,115.42,0.00,0.15,0.00,2.35,0.00,0.26,0.27,0.04,9.48,7.27,20.41,5.43,0.00,1.73,0.00,0.00,0.00,55.03,11.96,0.00,28.90,3.39,3.72,0.00,0.00,0.00,8.48,2.51,0.00,0.46,4.51,0.00,0.00,0.02,1.53,0.55,10.27,0.45,0.00,4.32,1.62,0.37,0.00,0.00,0.00,0.02,0.00,0.28,0.00,8.78,0.00,0.00,0.59,1.34,0.00,0.43,122.46,7.40,9.15,1.50,0.00,0.00,8.19,8.14,61.08,0.00,14.77,0.00,0.00,0.09,0.00,5.63,0.39,4.30,0.00,4.90,2.40,0.00,2.54,0.00,13.81,0.00,0.10,0.28,0.00,0.00,0.02,6.26,14.04,2.03,3.63,9.91,3.33,0.34,20.49,0.16,0.00,1.49,1.56,2.92,0.00,0.12,8.82,0.05,3.36,7.67,65.67,0.21,0.09,0.12,0.00,0.00,0.72,55.72,0.00,0.00,0.00,0.53,0.00,0.08,0.00,0.00,0.01,0.00,791.33,2015.00
Indonesia,IDN,0.73,1.07,0.22,0.07,0.00,0.20,8.59,0.00,0.42,0.00,10.31,0.00,0.00,0.00,0.00,1.20,1.56,8.27,3.23,0.00,6.91,0.00,0.00,0.00,27.21,31.26,0.03,5.79,6.52,0.89,0.00,2.95,0.00,37.19,24.71,0.00,1.89,0.33,0.00,0.00,0.58,0.26,0.83,6.37,0.55,0.00,2.25,0.39,0.04,0.00,0.00,0.01,0.00,0.21,14.65,0.00,18.80,0.00,0.00,0.33,4.58,0.00,0.00,87.85,0.42,14.49,0.57,0.00,0.00,4.26,6.62,19.88,0.00,3.73,0.00,0.66,2.95,2.77,1.25,1.49,0.06,0.00,5.57,0.08,0.00,21.05,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,2.74,1.65,1.22,4.70,2.78,0.78,0.31,1.80,7.67,0.38,0.49,0.13,12.27,0.00,0.00,2.36,0.00,1.31,0.97,124.24,0.37,0.88,0.10,1.32,0.24,0.80,9.34,0.00,0.00,0.00,36.28,0.00,0.02,0.32,0.00,0.83,0.00,621.83,2015.00
India,IND,1.33,0.63,0.11,0.03,0.00,1.58,7.77,0.00,0.86,0.00,14.81,0.00,0.00,0.00,0.00,0.90,1.65,5.53,0.86,0.00,3.27,0.00,0.00,0.03,62.02,19.01,0.05,4.84,7.85,0.46,0.00,1.21,0.00,18.17,55.57,0.00,3.92,0.75,0.00,0.02,3.38,2.21,1.22,15.11,1.66,0.00,0.52,1.83,0.25,0.00,0.00,0.08,0.00,0.27,5.73,0.00,7.50,0.00,0.00,0.28,4.00,0.00,0.00,104.60,0.53,15.16,2.08,0.11,0.00,2.33,2.10,30.96,0.00,2.64,0.00,1.66,2.64,3.40,0.32,3.23,0.15,0.00,8.92,0.15,0.09,40.31,0.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,1.38,1.98,1.40,3.58,2.81,5.02,0.30,1.98,0.97,0.65,9.60,0.76,15.62,0.00,0.00,12.28,0.21,1.23,5.72,48.26,0.29,0.14,0.12,0.64,0.02,0.46,5.65,0.00,0.00,0.00,34.27,0.00,0.04,0.12,0.00,1.05,0.00,637.79,2015.00
Iran (Islamic Republic of),IRN,0.03,0.51,0.00,0.00,0.00,0.30,11.92,0.00,0.20,0.00,4.25,0.00,0.00,0.00,0.00,1.61,4.47,4.07,1.95,0.00,0.56,0.00,0.00,0.00,13.50,7.68,1.06,5.01,6.61,0.39,0.00,0.00,0.00,15.63,2.50,0.00,1.30,2.57,0.00,0.02,0.30,0.94,3.93,3.44,2.35,0.00,0.78,0.47,0.11,0.00,0.00,0.01,0.00,0.01,3.22,0.00,19.97,0.00,0.00,0.14,3.36,0.00,0.00,105.84,0.65,13.36,1.48,0.00,0.00,4.71,4.29,14.11,0.00,3.33,0.00,0.00,0.37,0.01,0.58,0.96,0.02,0.00,0.75,0.46,0.08,14.76,0.00,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.97,2.37,0.41,0.82,2.97,1.55,1.07,4.06,0.19,0.00,1.34,0.08,21.78,0.00,0.00,6.31,0.30,0.26,11.70,43.46,0.27,0.05,0.11,0.04,0.12,0.35,7.51,0.00,0.00,0.00,1.20,0.00,0.01,0.02,0.00,0.09,0.00,403.00,2015.00
Italy,ITA,1.99,0.55,4.16,0.01,0.00,0.43,56.60,0.00,0.07,0.00,0.71,0.00,0.40,0.43,0.11,10.46,7.59,22.97,9.73,0.00,1.79,0.00,0.00,0.00,47.54,9.58,0.00,35.17,2.57,3.70,0.00,0.00,0.00,33.29,1.63,0.00,0.59,1.27,0.00,0.00,0.01,1.91,0.61,6.49,0.38,0.00,3.66,6.11,0.19,0.00,0.03,0.00,0.03,0.00,1.20,0.00,48.90,0.27,0.00,2.10,0.77,0.00,2.16,170.97,6.71,23.10,2.72,0.01,0.00,11.18,16.27,22.31,0.00,16.24,0.00,0.00,0.02,0.00,5.25,0.23,2.94,0.00,5.32,0.99,0.07,1.53,0.00,3.40,0.00,0.07,0.69,0.01,0.00,0.01,5.36,19.29,1.88,4.68,10.85,1.14,0.31,13.30,0.98,0.00,3.77,0.93,5.88,0.00,0.72,7.12,0.00,2.14,17.46,108.25,0.04,0.01,0.19,0.04,0.07,1.02,56.85,0.00,0.00,0.00,0.56,0.00,0.03,0.00,0.00,0.00,0.00,881.07,2015.00
Japan,JPN,0.08,0.50,3.24,0.01,0.00,0.36,22.32,0.00,0.08,0.00,1.30,0.00,0.44,0.08,0.04,7.12,2.06,11.69,6.29,0.00,3.01,0.00,0.00,0.00,52.05,10.19,0.00,43.55,1.85,2.51,0.00,0.00,0.00,3.86,2.04,0.00,6.08,0.54,0.00,0.00,0.01,0.74,0.46,6.44,0.77,0.00,5.40,15.96,0.07,0.00,0.00,0.00,0.03,0.00,0.04,0.00,3.97,0.08,0.00,0.21,0.27,0.00,0.65,123.62,7.51,32.97,0.82,0.00,0.00,7.39,23.98,107.66,0.00,13.88,0.00,0.00,0.04,0.00,1.33,0.24,1.26,0.00,6.34,0.05,0.01,0.40,0.00,9.91,0.00,0.06,0.06,0.00,0.00,0.00,3.86,26.53,1.02,5.45,6.23,2.26,0.25,9.67,1.35,0.01,2.03,1.32,4.22,0.00,0.49,19.14,0.00,1.44,40.26,97.62,0.09,0.00,0.07,0.01,0.01,1.53,61.53,0.00,0.00,0.00,2.40,0.00,0.14,0.00,0.00,0.00,0.00,842.82,2015.00
Republic of Korea,KOR,0.08,1.41,0.00,0.00,0.00,1.78,21.97,0.00,0.10,0.00,3.31,0.00,0.30,0.12,0.00,2.90,2.76,4.99,2.83,0.00,2.26,0.00,0.00,0.00,17.96,13.21,0.00,18.51,1.13,0.72,0.07,0.00,0.00,17.37,1.44,0.00,1.22,0.28,0.00,0.13,0.02,0.94,1.07,4.93,0.57,0.00,2.32,9.30,0.06,0.00,0.00,0.00,0.04,0.00,0.22,0.00,6.65,0.03,0.00,0.14,1.02,0.00,0.48,53.79,2.93,18.08,0.75,0.00,0.01,3.73,24.04,33.77,0.00,5.93,0.00,0.00,0.09,0.00,1.13,0.11,0.26,0.00,2.55,0.04,0.00,1.34,0.00,3.32,0.00,0.03,0.13,0.00,0.00,0.01,2.21,11.57,0.72,1.55,7.52,1.12,0.26,3.77,0.18,0.01,0.37,0.30,10.62,0.00,0.14,28.06,0.00,1.06,18.76,56.38,0.11,0.04,0.03,0.00,0.03,0.75,37.00,0.00,0.00,0.00,5.26,0.00,0.06,0.00,0.00,0.01,0.00,484.54,2015.00
Mexico,MEX,0.45,0.22,0.65,0.01,0.00,2.95,2.64,0.00,0.57,0.00,1.07,0.00,0.08,0.67,0.00,0.91,2.10,5.47,1.50,0.00,3.68,0.02,0.00,0.00,22.05,21.82,0.08,5.12,9.99,0.65,0.19,0.09,0.00,60.55,3.33,0.00,1.80,1.03,0.00,0.00,0.15,1.66,1.27,2.33,0.47,0.00,2.49,1.57,0.75,0.00,0.00,0.00,0.05,0.00,3.90,0.00,13.13,0.01,0.00,0.21,17.11,0.00,1.76,81.01,2.06,32.75,0.70,0.00,0.00,3.78,5.17,18.20,0.00,3.68,0.00,0.00,0.68,0.00,1.55,0.36,0.24,0.00,1.04,0.24,0.04,11.75,0.00,0.94,0.00,0.11,0.26,0.00,0.00,0.01,1.93,3.41,1.75,2.20,1.20,1.97,0.53,5.61,6.01,0.00,0.62,1.04,13.59,0.00,0.10,5.57,0.03,2.37,5.27,29.51,0.41,0.00,0.45,0.01,0.02,0.65,5.64,0.00,0.00,0.00,1.81,0.00,0.10,0.00,0.00,0.03,0.00,452.94,2015.00
Netherlands,NLD,0.02,0.12,0.21,0.02,0.00,3.02,87.60,0.07,0.12,0.00,0.74,0.00,0.68,0.23,0.18,7.74,6.69,21.78,7.41,0.02,1.53,0.00,0.00,0.00,55.83,5.05,0.00,34.03,2.93,2.90,0.00,0.00,0.00,14.75,3.36,0.00,0.51,1.34,0.00,0.00,0.00,1.91,0.46,16.63,0.25,0.00,2.52,2.85,0.09,0.00,0.03,0.00,0.10,0.00,0.21,0.00,5.43,0.51,0.00,0.40,0.61,0.00,1.29,109.93,6.68,14.93,1.33,0.01,0.00,8.71,5.80,24.17,0.00,14.15,0.00,0.00,0.06,0.00,6.11,0.29,3.28,0.02,4.30,1.50,0.00,1.98,0.00,11.89,0.00,0.16,1.09,0.02,0.00,0.04,6.10,16.44,1.18,3.63,9.60,0.82,0.12,17.25,0.11,0.00,1.36,1.08,3.78,0.00,0.52,11.78,0.00,1.83,8.48,60.32,0.06,0.01,0.16,0.00,0.01,0.60,63.47,0.00,0.00,0.00,0.22,0.00,0.19,0.00,0.00,0.00,0.00,717.71,2015.00
Poland,POL,0.00,0.23,0.69,0.00,0.00,8.76,6.56,0.00,0.15,0.00,1.36,0.00,0.03,0.07,0.00,11.37,9.20,19.12,10.71,0.00,4.95,0.00,0.00,0.00,42.08,17.24,0.00,36.49,2.44,5.34,0.00,0.00,0.00,20.14,1.51,0.00,2.17,0.81,0.00,0.01,0.01,2.24,0.76,12.60,1.38,0.00,2.17,5.56,0.42,0.00,0.00,0.00,0.01,0.00,0.46,0.00,9.85,0.01,0.00,0.79,0.96,0.00,0.03,346.07,8.60,9.03,4.88,0.00,0.00,8.42,5.72,41.79,0.00,10.32,0.00,0.00,0.02,0.00,8.71,0.42,0.94,0.00,8.53,1.13,0.00,1.84,0.00,4.51,0.00,0.01,0.01,0.00,0.00,0.01,7.71,13.82,4.19,1.37,2.85,6.39,0.45,14.44,0.34,0.00,1.92,0.78,9.33,0.00,0.06,15.86,0.00,0.71,15.90,86.99,0.07,0.00,0.44,0.01,0.00,0.88,66.58,0.00,0.00,0.00,1.60,0.00,0.03,0.00,0.00,0.00,0.00,952.39,2015.00
